0.57855,0.82114,1.2148,0.72998,0.34868,0.99462,-0.018461,0.92471,0.24418,0.063001
-0.022322,0.47681,0.55624,0.91543,0.26883,0.14517,0.44995,1.0584,0.68453,0.99877
0.057631,0.0017896,0.95442,1.05,0.11558,0.17376,-0.1538,0.20707,0.40055,0.2335
0.64095,0.80587,0.59024,-0.023599,-0.16732,0.47218,-0.03082,0.075773,1.1139,-0.061534
0.41361,0.87413,0.12846,0.12415,0.42157,0.44694,0.54602,0.43671,0.34157,0.14745
0.41937,0.358,0.63846,0.59006,0.76794,0.13544,0.8586,0.16593,0.11599,0.67352
0.080317,0.51531,0.83937,0.86964,0.95281,0.38224,0.072583,0.7815,-0.053538,0.7496
0.41245,1.0848,0.50544,-0.115,0.14877,0.76537,0.3302,0.50653,0.85873,0.39017
0.53215,0.77257,1.1146,-0.14661,0.31952,0.91137,0.32344,-0.30617,0.94076,0.32162
0.39324,0.095283,1.0952,1.0161,0.31976,0.28798,0.092369,0.38085,0.0076239,0.84448
